day_of_week,hour,raw_trips,raw_tips,raw_fares,raw_tip_ratio,strict_trips,strict_tips,strict_fares,strict_tip_ratio,evasion_gap,evasion_rate_pct
5,7,8057,16931.07,178205.01,0.0950089450347103,3370,14764.31,78325.05,0.18850048611523387,4687,58.17301725207894
5,8,12170,26900.05,237574.02,0.11322807940026439,6127,24090.05,117763.7,0.20456261139892853,6043,49.65488907148726
5,9,18166,42644.11,338203.13,0.12609022867411074,10147,38735.62,180779.61,0.21426985045492689,8019,44.14290432676429
5,10,22584,55312.45,405515.22,0.1364004290640435,13514,50737.1,232841.54,0.21790398740705802,9070,40.16117605384343
5,11,26872,71235.7,503167.92,0.1415744072078363,16421,65928.05,296003.87,0.2227269866437895,10451,38.89178326883001
5,12,29251,78057.91,564909.59,0.13817770379858485,17781,71381.9,324609.13,0.21990108534531974,11470,39.2123346210386
5,13,31254,87220.3,625645.47,0.139408505587038,19065,79757.96,365744.13,0.21807037613973465,12189,38.99980802457286
5,14,31693,96559.64,664011.94,0.14541852967282487,20144,89301.32,412101.13,0.21669758585714144,11549,36.44022339317831
5,15,34025,105006.38,741524.67,0.14160874782493751,21484,97409.92,454648.95,0.21425304072515727,12541,36.85819250551066
5,16,35385,111266.25,818330.27,0.13596741325479747,21756,101859.39,478031.58,0.2130808805560503,13629,38.51632047477745
5,17,37004,104857.62,852356.5,0.12302084867071465,21353,95159.98,442832.22,0.2148894676182325,15651,42.29542752134904
5,18,38563,101679.56,890319.99,0.11420563521212188,21220,91346.88,426312.93,0.21427189646816483,17343,44.97316080180484
5,19,37106,93039.23,824609.32,0.11282825423316827,20008,84694.96,398808.04,0.2123702420843873,17098,46.07880127203148
5,20,31911,84960.46,674113.91,0.12603279466522208,17812,78863.13,358465.91,0.22000175693136345,14099,44.18225690200871
5,21,31351,86808.17,652250.92,0.13309014573716507,18330,81476.57,367241.19,0.22186119699699264,13021,41.53296545564735
5,22,35137,91505.83,759024.3,0.12055718110737693,19658,85133.0,382574.94,0.22252633693153032,15479,44.05327717221163
5,23,35119,85238.69,850187.09,0.10025874422534457,17659,75169.28,346383.29,0.2170118541226397,17460,49.716677581935706
6,0,31161,63110.6,722077.42,0.08740143127588727,13786,54839.11,249878.3,0.21946327472213475,17375,55.75880106543436
6,1,24361,42446.7,501638.11,0.08461617878274838,10359,38098.7,170256.58,0.22377226184151003,14002,57.477115060958084
6,2,17134,27569.03,332791.89,0.08284165218088697,7204,24726.69,111471.09,0.22182155032304787,9930,57.95494338741683
6,3,12234,18989.29,250470.07,0.07581460731016684,4730,16548.16,76709.83,0.21572411254203014,7504,61.33725682524113
6,4,8839,15899.1,229380.56,0.06931319724740405,2911,12591.87,61352.06,0.20523956326812826,5928,67.06641022740129
6,5,4858,10101.69,130150.48,0.07761546480658389,1216,7390.06,38244.66,0.19323115959195347,3642,74.96912309592425
6,6,6490,13330.81,178301.82,0.07476541742535213,1742,9997.2,53820.07,0.18575226676591094,4748,73.15870570107859
6,7,7939,18597.99,196013.28,0.09488127539113678,3032,15152.49,81958.36,0.18488034655647087,4907,61.80879203929967
6,8,11037,26101.18,239868.94,0.10881433836327455,5256,22388.88,117825.94,0.1900165617180733,5781,52.37836368578418
6,9,16452,37233.42,327868.21,0.11356215352503982,8477,32808.1,162017.25,0.20249757356083997,7975,48.474349623146125
6,10,22230,52518.08,429672.13,0.1222282674000755,12169,46432.78,215717.46,0.2152481305871115,10061,45.25865946918579
6,11,25923,67600.94,532509.41,0.1269478787238708,14592,60215.98,277374.55,0.21709266405299263,11331,43.710218724684644
6,12,28277,75415.34,582337.11,0.12950460945207493,16528,67725.78,315274.61,0.21481520506836882,11749,41.54966934257524
6,13,30071,86379.82,641256.14,0.13470408252153346,17825,78383.84,368457.53,0.2127350742431563,12246,40.723620764191416
6,14,30691,96229.36,685969.67,0.1402822372598485,18738,87532.0,409823.5,0.21358462850470997,11953,38.946270893747354
6,15,32118,99747.78,724853.63,0.1376109270501963,19482,90669.29,425997.31,0.21284005291019326,12636,39.34242480851859
6,16,33163,103283.66,783507.14,0.13182223202203364,19640,92995.6,436692.15,0.21295459513068876,13523,40.77737237282514
6,17,32612,97494.04,775261.7,0.12575629622874443,18480,86633.26,406306.08,0.21322166776337678,14132,43.33374218079234
6,18,30939,84225.64,672967.45,0.1251555925921826,17111,76453.59,352519.81,0.2168774288174046,13828,44.69439865541872
6,19,28021,78214.73,590913.05,0.13236250240200312,15927,72112.68,333208.73,0.21641893956379835,12094,43.16048677777381
6,20,25006,71514.56,521777.99,0.13705936503760918,14018,66095.92,293323.84,0.22533429263710714,10988,43.94145405102775
6,21,23548,68011.17,494930.22,0.13741567447629285,12900,63451.84,279241.17,0.22722953065982354,10648,45.218277560727024
6,22,19262,54053.38,423739.28,0.1275628258961501,9850,50033.55,227048.63,0.22036490596750133,9412,48.86304641262589
6,23,14025,40573.52,323134.4,0.1255623666189672,6704,37071.81,172546.55,0.21485106482859262,7321,52.19964349376114
